word,level,word_url,word_class
advance,b2,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,noun
advance,b2,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,verb
advanced,b1,https://www.oxfordlearnersdictionaries.com/definition/english/advanced,adjective
advantage,a2,https://www.oxfordlearnersdictionaries.com/definition/english/advantage_1,noun
adventure,a2,https://www.oxfordlearnersdictionaries.com/definition/english/adventure,noun
adverse,c1,https://www.oxfordlearnersdictionaries.com/definition/english/adverse,adjective
advertise,a2,https://www.oxfordlearnersdictionaries.com/definition/english/advertise,verb
advertisement,a2,https://www.oxfordlearnersdictionaries.com/definition/english/advertisement,noun
advertising,a2,https://www.oxfordlearnersdictionaries.com/definition/english/advertising,noun
advice,a1,https://www.oxfordlearnersdictionaries.com/definition/english/advice,noun
advise,b1,https://www.oxfordlearnersdictionaries.com/definition/english/advise,verb
advocate,c1,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_1,noun
advocate,c1,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_2,verb
aesthetic,c1,https://www.oxfordlearnersdictionaries.com/definition/english/aesthetic_1,adjective
affair,b2,https://www.oxfordlearnersdictionaries.com/definition/english/affair,noun
affect,a2,https://www.oxfordlearnersdictionaries.com/definition/english/affect,verb
affection,c1,https://www.oxfordlearnersdictionaries.com/definition/english/affection,noun
afford,b1,https://www.oxfordlearnersdictionaries.com/definition/english/afford,verb
affordable,b2,https://www.oxfordlearnersdictionaries.com/definition/english/affordable,adjective
afraid,a1,https://www.oxfordlearnersdictionaries.com/definition/english/afraid,adjective
after,a2,https://www.oxfordlearnersdictionaries.com/definition/english/after_3,adverb
after,a2,https://www.oxfordlearnersdictionaries.com/definition/english/after_2,conjunction
after,a1,https://www.oxfordlearnersdictionaries.com/definition/english/after_1,preposition
aftermath,c1,https://www.oxfordlearnersdictionaries.com/definition/english/aftermath,noun
afternoon,a1,https://www.oxfordlearnersdictionaries.com/definition/english/afternoon,noun
afterwards,b2,https://www.oxfordlearnersdictionaries.com/definition/english/afterwards,adverb
again,a1,https://www.oxfordlearnersdictionaries.com/definition/english/again,adverb
against,a2,https://www.oxfordlearnersdictionaries.com/definition/english/against,preposition
age,a1,https://www.oxfordlearnersdictionaries.com/definition/english/age_1,noun
age,b1,https://www.oxfordlearnersdictionaries.com/definition/english/age_3,verb
aged,b1,https://www.oxfordlearnersdictionaries.com/definition/english/aged,adjective
agency,b2,https://www.oxfordlearnersdictionaries.com/definition/english/agency,noun
agenda,b2,https://www.oxfordlearnersdictionaries.com/definition/english/agenda,noun
agent,b1,https://www.oxfordlearnersdictionaries.com/definition/english/agent,noun
aggression,c1,https://www.oxfordlearnersdictionaries.com/definition/english/aggression,noun
aggressive,b2,https://www.oxfordlearnersdictionaries.com/definition/english/aggressive,adjective
ago,a1,https://www.oxfordlearnersdictionaries.com/definition/english/ago,adverb
agree,a1,https://www.oxfordlearnersdictionaries.com/definition/english/agree,verb
agreement,b1,https://www.oxfordlearnersdictionaries.com/definition/english/agreement,noun
agricultural,c1,https://www.oxfordlearnersdictionaries.com/definition/english/agricultural,adjective
agriculture,b2,https://www.oxfordlearnersdictionaries.com/definition/english/agriculture,noun
ah,a2,https://www.oxfordlearnersdictionaries.com/definition/english/ah_1,exclamation
ahead,b1,https://www.oxfordlearnersdictionaries.com/definition/english/ahead,adverb
aid,b2,https://www.oxfordlearnersdictionaries.com/definition/english/aid_1,noun
aid,b2,https://www.oxfordlearnersdictionaries.com/definition/english/aid_2,verb
